Film,Year,Tomatometer_Critic,Tomatometer_Audience,Tomatometer_Critic_Audience_Gap,IMDB_Critic,IMDB_Audience,IMDB_Critic_Audience_Gap,Nominations_Total,Nomination_SuccessRate,Genre,SideGenre,Picture,Cinematography,Directing,Editing,Screenplay,Acting,Design,Sound
Captain Phillips,2014,93,89,-4,82,78,-4,6,0,Action,Action/Drama,NOM,NNOM,NNOM,NOM,NOM,NOM,NNOM,NOM
Dallas Buyers Club,2014,92,91,-1,77,79,2,6,0.5,LGBTQ+,Drama/LGBTQ+,NOM,NNOM,NNOM,NOM,NOM,WON,NNOM,NNOM
Gravity,2014,96,79,-17,96,77,-19,10,0.7,Sci-Fi,Sci-Fi/Drama,NOM,WON,WON,WON,NNOM,NOM,NOM,WON
Her,2014,94,82,-12,91,80,-11,5,0.2,Comedy,Comedy/Drama,NOM,NNOM,NNOM,NNOM,WON,NNOM,NOM,NNOM
Nebraska,2014,91,83,-8,86,77,-9,6,0,Comedy,Comedy/Drama,NOM,NOM,NOM,NNOM,NOM,NOM,NNOM,NNOM
Philomena,2014,91,89,-2,77,76,-1,4,0,Drama,Drama,NOM,NNOM,NNOM,NNOM,NOM,NOM,NNOM,NNOM
12 Years a Slave,2014,95,90,-5,96,81,-15,9,0.33333,History,History/Drama,WON,NNOM,NOM,NOM,WON,WON,NOM,NNOM
The Wolf of Wall Street,2014,80,83,3,75,82,7,5,0,Comedy,Comedy/Drama,NOM,NNOM,NOM,NNOM,NOM,NOM,NNOM,NNOM
American Sniper,2015,72,84,12,72,73,1,6,0.16667,Biography,War/Biography,NOM,NNOM,NNOM,NOM,NOM,NOM,NNOM,WON
Birdman or (The Unexpected Virtue of Ignorance),2015,91,78,-13,87,77,-10,9,0.44444,Comedy,Comedy/Drama,WON,WON,WON,NNOM,WON,NOM,NNOM,NOM
Boyhood,2015,97,80,-17,100,79,-21,6,0.16667,Drama,Drama,NOM,NNOM,NOM,NOM,NOM,WON,NNOM,NNOM
The Grand Budapest Hotel,2015,92,86,-6,88,81,-7,9,0.44444,Comedy,Comedy/Drama,NOM,NOM,NOM,NOM,NOM,NNOM,WON,NNOM
The Imitation Game,2015,90,91,1,71,80,9,8,0.125,History,History/Drama,NOM,NNOM,NOM,NOM,WON,NOM,NOM,NNOM
Selma,2015,99,86,-13,79,75,-4,2,0.5,History,History/Drama,NOM,NNOM,NNOM,NNOM,NNOM,NNOM,NNOM,NNOM
The Theory of Everything,2015,80,84,4,71,77,6,5,0.2,Biography,Drama/Biography,NOM,NNOM,NNOM,NNOM,NOM,WON,NNOM,NNOM
Whiplash,2015,94,94,0,89,85,-4,5,0.6,Music,Drama/Music,NOM,NNOM,NNOM,WON,NOM,WON,NNOM,WON
The Big Short,2016,89,88,-1,81,78,-3,5,0.2,Comedy,Comedy/Drama,NOM,NNOM,NOM,NOM,WON,NOM,NNOM,NNOM
Bridge of Spies,2016,91,87,-4,81,76,-5,6,0.16667,History,History/Drama,NOM,NNOM,NNOM,NNOM,NOM,WON,NOM,NOM
Brooklyn,2016,97,87,-10,88,75,-13,3,0,Romance,Romance/History,NOM,NNOM,NNOM,NNOM,NOM,NOM,NNOM,NNOM
Mad Max: Fury Road,2016,97,86,-11,90,81,-9,10,0.6,Action,Action/Adventure,NOM,NOM,NOM,WON,NNOM,NNOM,WON,WON
The Martian,2016,91,91,0,80,80,0,7,0,Sci-Fi,Sci-Fi/Adventure,NOM,NNOM,NNOM,NNOM,NOM,NOM,NOM,NOM
The Revenant,2016,78,84,6,76,80,4,12,0.25,Western,Adventure/Western,NOM,WON,WON,NOM,NNOM,WON,NOM,NOM
Room,2016,93,93,0,86,81,-5,4,0.25,Drama,Drama,NOM,NNOM,NOM,NNOM,NOM,WON,NNOM,NNOM
